2224,6,467,9,8,0
30797,6707,6055,8650,102,28
77201,28996,17567,33590,525,318
76975,29465,23417,69527,498,507
35484,17861,14843,32550,170,475
20950,12993,12593,20826,84,386
18782,12030,13393,17654,138,338
20686,14983,16761,19370,172,296
20006,15203,17564,20495,214,355
17327,16018,17751,19531,316,300
17015,18196,18733,18432,338,282
22386,25065,23105,21216,507,219
40015,44361,45859,33037,773,233
38187,67946,59764,44014,548,336
21633,54284,38574,27422,233,278
16747,37612,29614,16089,134,182
18750,43106,39919,15890,157,198
11324,44390,26690,12770,100,234
4079,14845,7384,4081,29,59
297,4273,880,1120,0,30
1,9,0,0,0,0
